Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
15.03.2022, 02:47:07, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FF014, 02:47:08, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
15.03.2022, 02:47:07, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FF014, 02:47:08, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
15.03.2022, 02:47:07, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FF014, 02:47:09, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 02:43:30, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FEF3C, 02:43:32, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
15.03.2022, 02:43:30, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FEF3C, 02:43:32, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
15.03.2022, 02:43:30, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FEF3C, 02:43:33, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 02:39:55, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FEE64, 02:39:56, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
15.03.2022, 02:39:55, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FEE64, 02:39:57, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 02:39:55, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FEE64, 02:39:57, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
15.03.2022, 02:36:18, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FED8C, 02:36:20, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
15.03.2022, 02:36:18, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FED8C, 02:36:20, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
15.03.2022, 02:36:18, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FED8C, 02:36:20, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 02:32:42, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FECB4, 02:32:44, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
15.03.2022, 02:32:42, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FECB4, 02:32:44, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
15.03.2022, 02:32:42, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FECB4, 02:32:45, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 02:00:44, MC-HOVSETER, 2942, Borte 428, 428, Canceled, Empty group, No message for alarm 2942, 428, 428, 622FE53B, 01:00:00, , , , No Answer
