Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
31.01.2022, 07:59:54, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F788E6
31.01.2022, 07:59:50, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F788E2
31.01.2022, 07:59:47, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F788DF
31.01.2022, 07:58:40, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F7889C
31.01.2022, 07:58:37, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78899
31.01.2022, 07:54:54, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F787BA
31.01.2022, 07:54:27, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F7879F
31.01.2022, 07:54:00, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78784
31.01.2022, 07:53:17, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F7875A
31.01.2022, 07:41:14, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78486
31.01.2022, 07:41:11, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78482
31.01.2022, 07:41:07, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F7847E
31.01.2022, 07:39:03, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78403
31.01.2022, 07:39:00, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78400
31.01.2022, 07:38:25, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F783DD
31.01.2022, 07:38:22, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F783DA
31.01.2022, 07:36:00, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F7834C
31.01.2022, 07:35:48, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78340
31.01.2022, 07:33:37, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F782BB
31.01.2022, 07:33:29, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F782B5
31.01.2022, 07:33:26, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F782B2
31.01.2022, 07:33:25, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F782B1
31.01.2022, 07:33:22, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F782AE
31.01.2022, 07:33:18, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F782A9
